poli,relig_attend,lgbt_feel,equal_mar,lgbt_close,age,sex,race,sexori,me1,me2,fvr1,fvr2
4,2,50,5,0,56,2,1,3,4.167999999999999,4.151000000000001,70.94599999999997,60.150000000000006
2,0,85,5,3,59,2,1,1,5.082,4.886000000000001,97.896,86.47800000000002
3,2,100,5,1.5,63,2,1,3,4.300999999999999,4.356,76.21699999999998,69.638
4,3,60,5,7.5,32,1,1,1,4.259,4.644499999999999,79.58999999999999,92.24199999999999
4,0,50,5,5,76,2,2,3,3.995000000000001,4.047,59.27200000000001,63.897999999999996
4,4,50,4,0,44,2,2,3,3.915,3.86,66.256,58.763999999999996
2,6,15.5,1,1.5,48,1,2,3,3.734000000000001,3.8605,68.30799999999999,66.80599999999998
5,0,100,5,7.5,52,1,1,2,4.071000000000001,4.331999999999999,61.272999999999996,80.879
6,7,7.5,1,0,63,2,1,3,2.704,2.446,56.690000000000005,45.358
5,2,92.5,5,1.5,41,1,1,1,4.002,3.9619999999999997,70.941,62.08699999999999
5,3,50,4,0,70,2,1,3,3.4930000000000003,3.39,61.505,48.586999999999996
5,7,45,5,0,33,1,1,3,3.2040000000000006,3.0309999999999997,58.751,52.36999999999999
4,2,50,5,0,42,2,1,3,4.419999999999999,4.4030000000000005,73.80199999999999,64.29400000000001
3,0,47.5,5,0,24,1,1,3,5.032000000000001,5.146,73.18699999999998,66.342
4,7,85,5,0.5,31,2,1,3,3.798000000000001,3.7445,76.61600000000001,72.725
1,2,67.5,5,3,29,1,1,3,5.132,5.098000000000001,85.793,82.554
3,0,100,5,2,25,1,1,3,5.014,5.052,72.983,70.738
2,5,50,4,2,65,1,1,3,3.7330000000000005,3.8570000000000007,72.09199999999998,67.99300000000001
6,6,50,3,0.5,42,1,1,3,2.947,2.8425000000000002,50.102,43.67399999999999
4,4,85,5,2.5,56,2,1,2,3.901,4.0085,78.36999999999999,74.377
2,0,50,5,5,35,2,1,3,5.392,5.152000000000001,88.4,87.23400000000001
3,0,65,5,1.5,43,2,1,3,4.989,5.024,80.06899999999999,74.23
2,1,75,5,3.5,58,2,1,3,4.814000000000001,4.7465,83.822,79.22500000000002
4,1,50,4,0,45,1,1,3,4.231000000000002,4.259,62.318000000000005,52.70700000000001
3,5,85,4,0,65,1,1,3,3.4739999999999998,3.4730000000000003,65.39299999999997,57.736000000000004
4,7,50,3,2,85,2,1,3,2.826000000000001,3.007999999999999,65.6,61.676
4,5,75,5,0,32,2,1,3,4.1080000000000005,4.022,76.184,69.37200000000001
4,3,40,5,0,49,2,1,3,4.13,4.090000000000001,72.488,62.928
5,0,72.5,4,2,63,2,1,3,4.111000000000001,4.164999999999999,62.59099999999999,57.793000000000006
4,0,0,4,0,33,2,1,3,4.91,4.939,75.41,65.546
2,0,60,5,6,38,1,1,3,5.039000000000001,4.742,77.03,77.559
7,4,15,2,2,29,1,2,1,3.2310000000000003,3.3230000000000004,52.85300000000001,51.184000000000005
5,5,72.5,4,0,58,2,2,3,3.24,3.0990000000000006,56.81499999999999,47.20099999999999
4,5,50,1,0,40,1,2,3,3.5240000000000005,3.4680000000000004,56.428000000000004,50.66099999999999
2,2,90,5,0,52,2,1,3,4.758,4.867000000000001,85.16,77.58400000000002
6,1,75,3,4,48,2,1,1,4.08,4.273999999999999,73.45800000000001,77.274
1,0,95,5,8,37,1,1,3,5.316,4.596,83.93299999999999,79.272
6,2,75,4,1.5,61,2,1,3,3.5599999999999996,3.6105,56.528,50.985
4,3,60,4,7,58,2,1,3,3.968,4.411000000000001,70.65199999999999,84.07799999999999
4,3,25,4,0,62,1,1,3,3.597,3.579,59.077999999999996,49.08699999999998
2,0,55,5,0,52,1,1,3,4.787000000000001,4.964,74.174,66.179
4,0,57.5,4,0,66,1,1,3,4.017000000000001,4.0680000000000005,57.92000000000001,45.78499999999999
2,3,92.5,5,3,19,2,2,2,5.1080000000000005,5.106000000000002,91.83600000000001,89.45400000000001
2,7,55,1,2,59,2,2,3,3.671000000000001,3.8229999999999995,76.936,74.712
4,7,100,5,0,55,2,2,3,3.225000000000001,3.1009999999999995,64.35400000000001,57.62599999999999
4,0,37.5,5,1.5,32,1,1,3,4.629000000000001,4.6845,64.856,61.078
