poli,relig_attend,lgbt_feel,equal_mar,lgbt_close,age,sex,race,sexori
NA,NA,100,NA,1.5,NA,NA,NA,NA
NA,NA,100,NA,2,NA,NA,NA,NA
NA,NA,100,NA,6.5,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,100,NA,4.5,NA,NA,NA,NA
NA,NA,75,NA,1.5,NA,NA,NA,NA
NA,NA,100,NA,6,NA,NA,NA,NA
NA,NA,45,NA,1.5,NA,NA,NA,NA
NA,NA,88,NA,0,NA,NA,NA,NA
NA,NA,70,NA,2.5,NA,NA,NA,NA
NA,NA,0,NA,0,NA,NA,NA,NA
NA,NA,100,NA,2,NA,NA,NA,NA
NA,NA,67.5,NA,0.5,NA,NA,NA,NA
NA,NA,70,NA,2,NA,NA,NA,NA
NA,NA,50,NA,6,NA,NA,NA,NA
NA,NA,50,NA,2.5,NA,NA,NA,NA
NA,NA,57.5,NA,0,NA,NA,NA,NA
NA,NA,55,NA,4,NA,NA,NA,NA
NA,NA,50,NA,4,NA,NA,NA,NA
NA,NA,20,NA,0,NA,NA,NA,NA
NA,NA,85,NA,2.5,NA,NA,NA,NA
NA,NA,75,NA,0,NA,NA,NA,NA
NA,NA,70,NA,0,NA,NA,NA,NA
NA,NA,49.5,NA,0,NA,NA,NA,NA
NA,NA,67.5,NA,0,NA,NA,NA,NA
NA,NA,92.5,NA,3.5,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,NA,NA,0,NA,NA,NA,NA
NA,NA,50,NA,0,NA,NA,NA,NA
NA,NA,40,NA,2,NA,NA,NA,NA
NA,NA,80,NA,5.5,NA,NA,NA,NA
NA,NA,87.5,NA,5,NA,NA,NA,NA
NA,NA,100,NA,2,NA,NA,NA,NA
NA,NA,50,NA,5.5,NA,NA,NA,NA
NA,NA,5,NA,0,NA,NA,NA,NA
NA,NA,100,NA,0,NA,NA,NA,NA
NA,NA,100,NA,3,NA,NA,NA,NA
