age,sex,race,sexori,relig_attend,equal_mar,poli,lgbt_close,lgbt_feel
NA,NA,NA,NA,NA,NA,NA,0,100
NA,NA,NA,NA,NA,NA,NA,4,50
NA,NA,NA,NA,NA,NA,NA,2.5,85
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,4,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,27.5
NA,NA,NA,NA,NA,NA,NA,0.5,77.5
NA,NA,NA,NA,NA,NA,NA,2.5,85
NA,NA,NA,NA,NA,NA,NA,1.5,NA
NA,NA,NA,NA,NA,NA,NA,0,60
NA,NA,NA,NA,NA,NA,NA,0,77.5
NA,NA,NA,NA,NA,NA,NA,0,65
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0.5,45
NA,NA,NA,NA,NA,NA,NA,0,45
NA,NA,NA,NA,NA,NA,NA,0,87.5
NA,NA,NA,NA,NA,NA,NA,0,5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,1.5,85
NA,NA,NA,NA,NA,NA,NA,2.5,17.5
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,2,0
NA,NA,NA,NA,NA,NA,NA,5,100
NA,NA,NA,NA,NA,NA,NA,0,22.5
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,2,67.5
NA,NA,NA,NA,NA,NA,NA,0,20
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,0,72.5
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,1.5,87.5
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,2,55
NA,NA,NA,NA,NA,NA,NA,1.5,100
NA,NA,NA,NA,NA,NA,NA,2.5,55
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,0
NA,NA,NA,NA,NA,NA,NA,1.5,97.5
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,1.5,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,0,50
NA,NA,NA,NA,NA,NA,NA,2.5,32.5
NA,NA,NA,NA,NA,NA,NA,2.5,100
NA,NA,NA,NA,NA,NA,NA,2.5,75
NA,NA,NA,NA,NA,NA,NA,2,50
NA,NA,NA,NA,NA,NA,NA,0,NA
